theta_rad,theta_deg,delta_theta_rad,delta_theta_deg,A_observable,B_complement,imbalance_abs_A_minus_B,G_gap,gap_loss,coherence_ratio
0.029845130209103038,1.7100000000000002,-0.7555530331883452,-43.29,0.999109532639106,0.0008904673608941097,0.9982190652782118,0.000889674428773292,0.2491103255712267,0.003558697715093168
0.030630528372500486,1.7550000000000001,-0.7547676350249478,-43.245,0.9990620641196373,0.0009379358803627047,0.9981241282392745,0.0009370561566470329,0.24906294384335298,0.0037482246265881317
0.031415926535897934,1.8,-0.7539822368615503,-43.199999999999996,0.9990133642141359,0.000986635785864219,0.9980267284282717,0.0009856623356902711,0.24901433766430972,0.003942649342761085
0.03220132469929538,1.8450000000000002,-0.7531968386981529,-43.155,0.9989634330427635,0.0010365669572364774,0.9979268660855269,0.0010354924861796428,0.24896450751382035,0.004141969944718571
0.03298672286269283,1.8900000000000001,-0.7524114405347555,-43.11,0.9989122707287207,0.001087729271279277,0.9978245414574414,0.0010865461163116791,0.24891345388368832,0.0043461844652467165
0.03377212102609028,1.935,-0.751626042371358,-43.065,0.9988598773982453,0.0011401226017546944,0.9977197547964907,0.0011388227222076624,0.24886117727779233,0.00455529088883065
0.034557519189487726,1.98,-0.7508406442079606,-43.02,0.9988062531806127,0.0011937468193873953,0.9976125063612252,0.0011923217879185979,0.2488076782120814,0.0047692871516743915
0.035342917352885174,2.025,-0.7500552460445631,-42.975,0.998751398208135,0.0012486017918649527,0.99750279641627,0.0012470427854303042,0.2487529572145697,0.004988171141721217
0.03612831551628262,2.07,-0.7492698478811657,-42.93,0.9986953126161618,0.0013046873838381751,0.9973906252323237,0.0013029851746686287,0.24869701482533138,0.005211940698674515
0.03691371367968007,2.115,-0.7484844497177682,-42.885,0.9986379965430785,0.0013620034569214398,0.9972759930861571,0.0013601484035047737,0.24863985159649524,0.005440593614019095
0.03769911184307752,2.16,-0.7476990515543708,-42.84,0.9985794501303069,0.001420549869693034,0.9971589002606138,0.0014185319077607492,0.24858146809223924,0.005674127631042997
0.038484510006474966,2.205,-0.7469136533909733,-42.794999999999995,0.9985196735223046,0.0014803264776955037,0.9970393470446092,0.0014781351112149376,0.24852186488878505,0.005912540444859751
0.039269908169872414,2.25,-0.7461282552275759,-42.75,0.9984586668665639,0.001541333133436012,0.996917333733128,0.0015389574256077841,0.24846104257439222,0.0061558297024311365
0.04005530633326986,2.295,-0.7453428570641785,-42.705000000000005,0.9983964303136132,0.001603569686386699,0.9967928606272265,0.0016009982506476005,0.2483990017493524,0.006403993002590402
0.04084070449666731,2.34,-0.744557458900781,-42.66,0.9983329640170149,0.001667035982985058,0.9966659280340299,0.001664256974016491,0.24833574302598352,0.006657027896065964
0.04162610266006476,2.385,-0.7437720607373836,-42.615,0.9982682681333657,0.0017317318666343108,0.9965365362667313,0.001728732971376394,0.2482712670286236,0.006914931885505576
0.04241150082346221,2.43,-0.742986662573986,-42.57,0.9982023428222961,0.0017976571777037962,0.9964046856445924,0.0017944256063752461,0.24820557439362476,0.0071777024255009845
0.04319689898685966,2.475,-0.7422012644105886,-42.525,0.9981351882464706,0.0018648117535293618,0.9962703764929413,0.0018613342306532605,0.24813866576934673,0.007445336922613042
0.04398229715025711,2.5200000000000005,-0.7414158662471911,-42.48,0.9980668045715861,0.0019331954284137678,0.9961336091431724,0.0019294581838493277,0.24807054181615068,0.007717832735397311
0.04476769531365456,2.5650000000000004,-0.7406304680837937,-42.435,0.9979971919663728,0.0020028080336270937,0.9959943839327458,0.0019987967936075323,0.24800120320639246,0.00799518717443013
0.045553093477052005,2.6100000000000003,-0.7398450699203962,-42.38999999999999,0.9979263506025929,0.002073649397407157,0.9958527012051858,0.00206934937558379,0.24793065062441622,0.00827739750233516
0.04633849164044945,2.6550000000000002,-0.7390596717569988,-42.345,0.9978542806550401,0.0021457193449599342,0.9957085613100802,0.002141115233452599,0.2478588847665474,0.008564460933810396
0.0471238898038469,2.7,-0.7382742735936014,-42.300000000000004,0.9977809823015401,0.002219017698459994,0.9955619646030801,0.0022140936589139155,0.24778590634108608,0.008856374635655662
0.04790928796724435,2.745,-0.7374888754302039,-42.254999999999995,0.997706455722949,0.002293544277050935,0.995412911445898,0.002288283931700142,0.24771171606829986,0.009153135726800567
0.0486946861306418,2.79,-0.7367034772668065,-42.21,0.9976307011031541,0.0023692988968458343,0.9952614022063083,0.002363685319583239,0.24763631468041675,0.009454741278332957
0.049480084294039245,2.835,-0.735918079103409,-42.165,0.9975537186290722,0.002446281370927697,0.9951074372581444,0.002440297078381949,0.24755970292161805,0.009761188313527796
0.05026548245743669,2.8800000000000003,-0.7351326809400116,-42.12,0.99747550849065,0.0025244915093499214,0.9949510169813001,0.0025181184519691415,0.24748188154803086,0.010072473807876566
0.05105088062083414,2.9250000000000003,-0.7343472827766141,-42.074999999999996,0.9973960708808631,0.002603929119136766,0.9947921417617264,0.0025971486722792775,0.24740285132772072,0.01038859468911711
0.05183627878423159,2.97,-0.7335618846132167,-42.03,0.9973154059957162,0.0026845940042838244,0.9946308119914324,0.0026773869593159877,0.247322613040684,0.01070954783726395
0.05262167694762904,3.015,-0.7327764864498192,-41.985,0.9972335140342414,0.002766485965758511,0.994467028068483,0.0027588325211597717,0.24724116747884023,0.011035330084639087
0.053407075111026485,3.06,-0.7319910882864218,-41.94,0.9971503951984996,0.002849604801500553,0.994300790396999,0.0028414845539758184,0.24715851544602419,0.011365938215903273
0.05419247327442393,3.105,-0.7312056901230244,-41.895,0.9970660496935775,0.002933950306422484,0.994132099387155,0.0029253422420219273,0.24707465775797807,0.01170136896808771
0.05497787143782138,3.15,-0.7304202919596269,-41.85,0.9969804777275898,0.003019522272410156,0.9939609554551796,0.0030104047576565746,0.24698959524234343,0.012041619030626298
0.05576326960121883,3.195,-0.7296348937962295,-41.805,0.9968936795116767,0.0031063204883232495,0.9937873590233535,0.0030966712613470725,0.24690332873865292,0.01238668504538829
0.05654866776461628,3.24,-0.728849495632832,-41.76,0.9968056552600042,0.0031943447399957955,0.9936113105200084,0.0031841409016778567,0.24681585909832215,0.012736563606711427
0.057334065928013725,3.285,-0.7280640974694346,-41.715,0.9967164051897633,0.003283594810236702,0.9934328103795267,0.0032728128153588884,0.24672718718464112,0.013091251261435554
0.05811946409141117,3.33,-0.7272786993060371,-41.669999999999995,0.9966259295211696,0.003374070478830294,0.9932518590423393,0.0033626861272341795,0.24663731387276583,0.013450744508936718
0.05890486225480863,3.3750000000000004,-0.7264933011426397,-41.625,0.9965342284774632,0.0034657715225368526,0.9930684569549264,0.0034537599502904256,0.24654624004970957,0.013815039801161702
0.059690260418206076,3.4200000000000004,-0.7257079029792421,-41.58,0.9964413022849069,0.0035586977150931683,0.9928826045698137,0.0035460333856657594,0.24645396661433425,0.014184133542663038
0.060475658581603524,3.4650000000000003,-0.7249225048158447,-41.535,0.9963471511727869,0.0036528488272130977,0.9926943023455739,0.003639505522658626,0.24636049447734137,0.014558022090634504
0.06126105674500097,3.5100000000000002,-0.7241371066524473,-41.49,0.9962517753734118,0.0037482246265881326,0.9925035507468237,0.0037341754387367706,0.24626582456126322,0.014936701754947082
0.06204645490839842,3.555,-0.7233517084890498,-41.445,0.996155175122112,0.003844824877887967,0.9923103502442241,0.003830042199546341,0.24616995780045367,0.015320168798185364
0.06283185307179587,3.6,-0.7225663103256524,-41.4,0.9960573506572389,0.003942649342761085,0.9921147013144778,0.00392710485892111,0.24607289514107888,0.01570841943568444
0.06361725123519331,3.645,-0.7217809121622549,-41.355,0.9959583022201646,0.0040416977798353425,0.9919166044403293,0.004025362458891816,0.24597463754110818,0.016101449835567265
0.06440264939859076,3.6900000000000004,-0.7209955139988575,-41.31,0.9958580300552814,0.00414196994471857,0.9917160601105628,0.0041248140296956184,0.2458751859703044,0.016499256118782474
0.0651880475619882,3.735,-0.7202101158354601,-41.265,0.9957565344100008,0.004243465589999166,0.9915130688200016,0.004225458589785658,0.24577454141021435,0.016901834359142633
0.06597344572538566,3.7800000000000002,-0.7194247176720626,-41.22,0.9956538155347534,0.004346184465246716,0.9913076310695067,0.004327295145840764,0.24567270485415924,0.017309180583363056
0.0667588438887831,3.8249999999999997,-0.7186393195086652,-41.175000000000004,0.9955498736829874,0.004450126317012606,0.9910997473659748,0.004430322692775238,0.24556967730722476,0.01772129077110095
0.06754424205218056,3.87,-0.7178539213452677,-41.129999999999995,0.9954447091111694,0.004555290888830651,0.9908894182223388,0.004534540213748788,0.2454654597862512,0.01813816085499515
0.06832964021557801,3.9150000000000005,-0.7170685231818703,-41.085,0.9953383220787823,0.0046616779212177205,0.9906766441575645,0.004639946680176552,0.24536005331982344,0.018559786720706208
0.06911503837897545,3.96,-0.7162831250184728,-41.04,0.9952307128483256,0.00476928715167439,0.9904614256966513,0.004746541051739264,0.24525345894826073,0.018986164206957055
0.0699004365423729,4.005000000000001,-0.7154977268550754,-40.995,0.9951218816853145,0.004878118314685582,0.9902437633706289,0.004854322276393512,0.2451456777236065,0.019417289105574047
0.07068583470577035,4.05,-0.7147123286916779,-40.949999999999996,0.9950118288582787,0.004988171141721215,0.9900236577165574,0.004963289290382114,0.24503671070961788,0.019853157161528457
0.0714712328691678,4.095000000000001,-0.7139269305282805,-40.905,0.994900554638763,0.005099445361236886,0.9898011092775262,0.005073441018244645,0.24492655898175536,0.02029376407297858
0.07225663103256524,4.14,-0.7131415323648831,-40.86,0.9947880593013255,0.005211940698674513,0.989576118602651,0.005184776372828014,0.24481522362717198,0.020739105491312054
0.0730420291959627,4.1850000000000005,-0.7123561342014856,-40.815,0.994674343123537,0.005325656876463038,0.989348686247074,0.00529729425529722,0.2447027057447028,0.02118917702118888
0.07382742735936014,4.23,-0.7115707360380882,-40.77,0.9945594063859808,0.005440593614019095,0.9891188127719618,0.005410993555146189,0.24458900644485382,0.021643974220584755
0.0746128255227576,4.275,-0.7107853378746907,-40.725,0.9944432493722523,0.005556750627747709,0.9888864987445045,0.005525873150208734,0.24447412684979128,0.022103492600834936
0.07539822368615504,4.32,-0.7099999397112933,-40.68,0.994325872368957,0.005674127631042996,0.988651744737914,0.00564193190666963,0.24435806809333038,0.02256772762667852
0.07618362184955249,4.365,-0.7092145415478958,-40.635,0.9942072756657111,0.00579272433428887,0.9884145513314222,0.005759168679075807,0.2442408313209242,0.02303667471630323
0.07696902001294993,4.41,-0.7084291433844984,-40.59,0.9940874595551401,0.005912540444859749,0.9881749191102803,0.005877582310347645,0.24412241768965234,0.02351032924139058
0.07775441817634739,4.455,-0.7076437452211009,-40.544999999999995,0.9939664243328787,0.006033575667121301,0.9879328486657575,0.005997171631790423,0.24400282836820958,0.02398868652716169
0.07853981633974483,4.5,-0.7068583470577035,-40.5,0.9938441702975689,0.0061558297024311365,0.9876883405951378,0.006117935463105803,0.2438820645368942,0.024471741852423214
0.07932521450314228,4.545,-0.706072948894306,-40.455000000000005,0.9937206977508605,0.006279302249139584,0.9874413955017209,0.006239872612403535,0.24376012738759648,0.02495949044961414
0.08011061266653972,4.59,-0.7052875507309085,-40.41,0.9935960069974096,0.006403993002590402,0.9871920139948192,0.006362981876213175,0.24363701812378682,0.0254519275048527
0.08089601082993718,4.635000000000001,-0.7045021525675111,-40.365,0.9934700983448783,0.00652990165512156,0.9869401966897567,0.006487262039496,0.243512737960504,0.025949048157984
0.08168140899333462,4.68,-0.7037167544041136,-40.32,0.993342972103934,0.006657027896065963,0.986685944207868,0.006612711875656962,0.24338728812434304,0.02645084750262785
0.08246680715673207,4.7250000000000005,-0.7029313562407162,-40.275,0.9932146285882478,0.006785371411752262,0.9864292571764955,0.006739330146556838,0.24326066985344316,0.02695732058622735
0.08325220532012952,4.77,-0.7021459580773187,-40.23,0.9930850681144944,0.006914931885505575,0.9861701362289887,0.006867115602524393,0.2431328843974756,0.027468462410097573
0.08403760348352697,4.815,-0.7013605599139213,-40.185,0.9929542910023518,0.007045708997648327,0.9859085820047034,0.006996066982368785,0.2430039330176312,0.02798426792947514
0.08482300164692443,4.86,-0.7005751617505238,-40.13999999999999,0.992822297574499,0.007177702425500985,0.985644595148998,0.007126183013391942,0.24287381698660807,0.02850473205356777
0.08560839981032187,4.905,-0.6997897635871264,-40.095,0.992689088156617,0.0073109118433828885,0.9853781763132342,0.007257462411401172,0.24274253758859882,0.029029849645604688
0.08639379797371932,4.95,-0.699004365423729,-40.050000000000004,0.9925546630773869,0.007445336922613043,0.9851093261547739,0.007389903880721817,0.2426100961192782,0.02955961552288727
0.08717919613711676,4.995,-0.6982189672603315,-40.004999999999995,0.9924190226684891,0.007580977331510924,0.9848380453369782,0.007523506114210042,0.24247649388578996,0.030094024456840167
0.08796459430051422,5.040000000000001,-0.6974335690969341,-39.96,0.9922821672646027,0.007717832735397311,0.9845643345292054,0.00765826779326574,0.24234173220673427,0.03063307117306296
0.08874999246391166,5.085,-0.6966481709335366,-39.915,0.9921440972034048,0.007855902796595095,0.9842881944068097,0.007794187587845543,0.24220581241215447,0.031176750351382173
0.08953539062730911,5.130000000000001,-0.6958627727701392,-39.87,0.99200481282557,0.007995187174430131,0.9840096256511398,0.00793126415647596,0.24206873584352404,0.03172505662590384
0.09032078879070655,5.175,-0.6950773746067417,-39.824999999999996,0.991864314474768,0.008135685525232054,0.9837286289495359,0.008069496146266585,0.2419305038537334,0.03227798458506634
0.09110618695410401,5.220000000000001,-0.6942919764433443,-39.78,0.9917226024976648,0.00827739750233516,0.9834452049953296,0.008208882192923496,0.24179111780707652,0.03283552877169398
0.09189158511750145,5.265,-0.6935065782799468,-39.735,0.9915796772439207,0.008420322756079223,0.9831593544878415,0.008349420920762676,0.24165057907923732,0.033397683683050704
0.0926769832808989,5.3100000000000005,-0.6927211801165494,-39.69,0.9914355390661895,0.008564460933810393,0.9828710781323792,0.008491110942723628,0.24150888905727638,0.03396444377089451
0.09346238144429635,5.355,-0.691935781953152,-39.645,0.991290188320118,0.008709811679882046,0.9825803766402359,0.008633950860383037,0.24136604913961696,0.03453580344153215
0.0942477796076938,5.4,-0.6911503837897545,-39.6,0.9911436253643443,0.00885637463565566,0.9822872507286886,0.008777939263968575,0.24122206073603142,0.0351117570558743
0.09503317777109124,5.445,-0.6903649856263571,-39.555,0.9909958505604982,0.009004149439501714,0.9819917011209965,0.008923074732372834,0.24107692526762717,0.035692298929491335
0.0958185759344887,5.49,-0.6895795874629596,-39.51,0.9908468642731995,0.009153135726800567,0.9816937285463989,0.009069355833167335,0.24093064416683266,0.03627742333266934
0.09660397409788614,5.535,-0.6887941892995622,-39.465,0.9906966668700568,0.009303333129943367,0.9813933337401134,0.009216781122616667,0.24078321887738333,0.03686712449046667
0.0973893722612836,5.58,-0.6880087911361646,-39.419999999999995,0.990545258721667,0.009454741278332957,0.981090517443334,0.009365349145692743,0.24063465085430727,0.03746139658277097
0.09817477042468103,5.625,-0.6872233929727672,-39.375,0.9903926402016153,0.009607359798384776,0.9807852804032305,0.009515058436089158,0.24048494156391084,0.03806023374435663
0.09896016858807849,5.67,-0.6864379948093697,-39.33,0.9902388116864723,0.009761188313527798,0.9804776233729445,0.009665907516235648,0.24033409248376436,0.03866363006494259
0.09974556675147593,5.715,-0.6856525966459723,-39.285,0.9900837735557946,0.009916226444205452,0.9801675471115892,0.009817894897312694,0.2401821051026873,0.039271579589250774
0.10053096491487339,5.760000000000001,-0.6848671984825749,-39.24,0.9899275261921234,0.010072473807876568,0.9798550523842469,0.009971019079266208,0.2400289809207338,0.03988407631706483
0.10131636307827084,5.805000000000001,-0.6840818003191774,-39.195,0.9897700699809837,0.010229930019016304,0.9795401399619674,0.010125278550822334,0.23987472144917765,0.040501114203289335
0.10210176124166828,5.8500000000000005,-0.68329640215578,-39.15,0.9896114053108829,0.01038859468911711,0.9792228106217657,0.010280671789502357,0.23971932821049763,0.04112268715800943
0.10288715940506574,5.8950000000000005,-0.6825110039923825,-39.105,0.9894515325733104,0.01054846742668969,0.9789030651466207,0.010437197261637757,0.23956280273836225,0.04174878904655103
0.10367255756846318,5.94,-0.6817256058289851,-39.06,0.989290452162736,0.010709547837263949,0.9785809043254721,0.010594853422385303,0.2394051465776147,0.042379413689541214
0.10445795573186063,5.985,-0.6809402076655876,-39.01499999999999,0.9891281644766101,0.010871835523389996,0.9782563289532201,0.010753638715742352,0.23924636128425764,0.04301455486296941
0.10524335389525807,6.03,-0.6801548095021902,-38.97,0.9889646699153609,0.011035330084639089,0.9779293398307218,0.010913551574562148,0.23908644842543786,0.04365420629824859
0.10602875205865553,6.075,-0.6793694113387927,-38.925,0.9887999688823953,0.011200031117604658,0.9775999377647906,0.011074590420569345,0.23892540957943065,0.04429836168227738
0.10681415022205297,6.12,-0.6785840131753953,-38.879999999999995,0.9886340617840967,0.01136593821590327,0.9772681235681935,0.01123675366437554,0.23876324633562446,0.04494701465750216
0.10759954838545042,6.165000000000001,-0.6777986150119979,-38.835,0.9884669490298243,0.011533050970175658,0.9769338980596487,0.011400039705494988,0.238599960294505,0.04560015882197995
0.10838494654884787,6.21,-0.6770132168486004,-38.79,0.9882986310319124,0.011701368968087707,0.9765972620638247,0.011564446932360382,0.2384355530676396,0.04625778772944153
0.10917034471224532,6.255000000000001,-0.676227818685203,-38.745,0.9881291082056686,0.011870891794331498,0.976258216411337,0.011729973722338772,0.23827002627766122,0.046919894889355086
0.10995574287564276,6.3,-0.6754424205218055,-38.699999999999996,0.9879583809693737,0.0120416190306263,0.9759167619387474,0.011896618441747558,0.23810338155825245,0.04758647376699023
0.11074114103904022,6.345000000000001,-0.6746570223584081,-38.655,0.9877864497442803,0.012213550255719637,0.9755728994885606,0.012064379445870646,0.23793562055412937,0.048257517783482584
0.11152653920243766,6.39,-0.6738716241950107,-38.61,0.9876133149546117,0.012386685045388292,0.9752266299092234,0.012233255078974646,0.23776674492102534,0.048933020315898586
0.11231193736583511,6.4350000000000005,-0.6730862260316132,-38.565,0.9874389770275607,0.012561022972439391,0.9748779540551212,0.012403243674325241,0.23759675632567476,0.049612974697300964
0.11309733552923255,6.48,-0.6723008278682158,-38.52,0.9872634363932885,0.012736563606711425,0.9745268727865771,0.012574343554203619,0.23742565644579638,0.050297374216814475
