theta_deg,phi_deg,S_normal,S_tangent,x_plane,y_plane,distance_from_balance
20.6,69.4,0.12379254555213778,0.8762074544478622,-24.4,0.7524149088957244,24.411598231068947
20.65,69.35,0.12436793324824447,0.8756320667517555,-24.35,0.7512641335035111,24.361586520550933
20.700000000000003,69.3,0.12494446518477026,0.8750555348152298,-24.299999999999997,0.7501110696304596,24.31157474572106
20.75,69.25,0.1255221396054989,0.8744778603945011,-24.25,0.7489557207890023,24.261562906616355
20.8,69.2,0.12610095475073402,0.873899045249266,-24.2,0.747798090498532,24.21155100327431
20.85,69.15,0.12668090885730426,0.8733190911426958,-24.15,0.7466381822853916,24.161539035732932
20.9,69.1,0.12726200015856895,0.872737999841431,-24.1,0.745475999682862,24.111527004030734
20.950000000000003,69.05,0.12784422688442304,0.8721557731155769,-24.049999999999997,0.7443115462311538,24.061514908206693
21.0,69.0,0.1284275872613029,0.8715724127386971,-24.0,0.7431448254773942,24.01150274830032
21.05,68.95,0.12901207951219182,0.8709879204878082,-23.95,0.7419758409756163,23.9614905243516
21.1,68.9,0.12959770185662497,0.870402298143375,-23.9,0.74080459628675,23.911478236401017
21.15,68.85,0.1301844525106952,0.8698155474893048,-23.85,0.7396310949786096,23.861465884489565
21.200000000000003,68.8,0.13077232968705815,0.8692276703129419,-23.799999999999997,0.7384553406258838,23.811453468658705
21.25,68.75,0.13136133159493799,0.868638668405062,-23.75,0.737277336810124,23.761440988950437
21.3,68.7,0.13195145644013284,0.868048543559867,-23.7,0.7360970871197342,23.711428445407208
21.35,68.65,0.13254270242502006,0.86745729757498,-23.65,0.7349145951499599,23.661415838071996
21.4,68.6,0.13313506774856182,0.8668649322514381,-23.6,0.7337298645028763,23.611403166988264
21.450000000000003,68.55,0.13372855060631067,0.8662714493936893,-23.549999999999997,0.7325428987873785,23.561390432199957
21.5,68.5,0.13432314919041477,0.8656768508095853,-23.5,0.7313537016191706,23.511377633751536
21.55,68.45,0.13491886168962383,0.8650811383103763,-23.45,0.7301622766207524,23.46136477168794
21.6,68.4,0.1355156862892942,0.8644843137107058,-23.4,0.7289686274214116,23.41135184605461
21.65,68.35,0.13611362117139478,0.8638863788286052,-23.35,0.7277727576572104,23.36133885689748
21.700000000000003,68.3,0.13671266451451206,0.863287335485488,-23.299999999999997,0.7265746709709759,23.311325804262967
21.75,68.25,0.13731281449385618,0.8626871855061439,-23.25,0.7253743710122877,23.261312688198007
21.8,68.2,0.13791406928126623,0.8620859307187337,-23.2,0.7241718614374675,23.211299508749995
21.85,68.15,0.13851642704521586,0.8614835729547842,-23.15,0.7229671459095683,23.161286265966847
21.9,68.1,0.1391198859508189,0.8608801140491811,-23.1,0.7217602280983622,23.111272959896965
21.950000000000003,68.05,0.1397244441598348,0.8602755558401651,-23.049999999999997,0.7205511116803304,23.061259590589227
22.0,68.0,0.1403300998306744,0.8596699001693257,-23.0,0.7193398003386513,23.01124615809303
22.05,67.95,0.14093685111840554,0.8590631488815945,-22.95,0.718126297763189,22.96123266245824
22.1,67.9,0.14154469617475854,0.8584553038252414,-22.9,0.7169106076504829,22.911219103735224
22.15,67.85,0.14215363314813212,0.8578463668518679,-22.85,0.7156927337037358,22.86120548197484
22.200000000000003,67.8,0.1427636601835984,0.8572363398164017,-22.799999999999997,0.7144726796328033,22.811191797228428
22.25,67.75,0.14337477542290922,0.8566252245770908,-22.75,0.7132504491541816,22.761178049547844
22.3,67.7,0.14398697700450178,0.8560130229954983,-22.7,0.7120260459909965,22.711164238985404
22.35,67.65,0.14460026306350376,0.8553997369364963,-22.65,0.7107994738729926,22.661150365593933
22.4,67.6,0.1452146317317396,0.8547853682682605,-22.6,0.7095707365365209,22.61113642942674
22.450000000000003,67.55,0.14583008113773563,0.8541699188622643,-22.549999999999997,0.7083398377245287,22.561122430537615
