theta_deg,phi_deg,theta_plus_phi,difference
15.700000000000001,74.3,90.0,58.599999999999994
15.75,74.25,90.0,58.5
15.8,74.2,90.0,58.400000000000006
15.850000000000001,74.15,90.0,58.300000000000004
15.9,74.1,90.0,58.199999999999996
15.950000000000001,74.05,90.0,58.099999999999994
16.0,74.0,90.0,58.0
16.05,73.95,90.0,57.900000000000006
16.1,73.9,90.0,57.800000000000004
16.150000000000002,73.85,90.0,57.69999999999999
16.2,73.8,90.0,57.599999999999994
16.25,73.75,90.0,57.5
16.3,73.7,90.0,57.400000000000006
16.35,73.65,90.0,57.300000000000004
16.400000000000002,73.6,90.0,57.19999999999999
16.45,73.55,90.0,57.099999999999994
16.5,73.5,90.0,57.0
16.55,73.45,90.0,56.900000000000006
16.6,73.4,90.0,56.800000000000004
16.650000000000002,73.35,90.0,56.69999999999999
16.7,73.3,90.0,56.599999999999994
16.75,73.25,90.0,56.5
16.8,73.2,90.0,56.400000000000006
16.85,73.15,90.0,56.300000000000004
16.900000000000002,73.1,90.0,56.19999999999999
16.95,73.05,90.0,56.099999999999994
17.0,73.0,90.0,56.0
17.05,72.95,90.0,55.900000000000006
17.1,72.9,90.0,55.800000000000004
17.150000000000002,72.85,90.0,55.69999999999999
17.2,72.8,90.0,55.599999999999994
17.25,72.75,90.0,55.5
17.3,72.7,90.0,55.400000000000006
17.35,72.65,90.0,55.300000000000004
17.400000000000002,72.6,90.0,55.19999999999999
17.45,72.55,90.0,55.099999999999994
17.5,72.5,90.0,55.0
17.55,72.45,90.0,54.900000000000006
17.6,72.4,90.0,54.800000000000004
17.650000000000002,72.35,90.0,54.69999999999999
17.7,72.3,90.0,54.599999999999994
17.75,72.25,90.0,54.5
17.8,72.2,90.0,54.400000000000006
17.85,72.15,90.0,54.300000000000004
17.900000000000002,72.1,90.0,54.19999999999999
17.95,72.05,90.0,54.099999999999994
18.0,72.0,90.0,54.0
18.05,71.95,90.0,53.900000000000006
18.1,71.9,90.0,53.800000000000004
18.150000000000002,71.85,90.0,53.69999999999999
18.2,71.8,90.0,53.599999999999994
18.25,71.75,90.0,53.5
18.3,71.7,90.0,53.400000000000006
18.35,71.65,90.0,53.300000000000004
18.400000000000002,71.6,90.0,53.19999999999999
18.45,71.55,90.0,53.099999999999994
18.5,71.5,90.0,53.0
18.55,71.45,90.0,52.900000000000006
18.6,71.4,90.0,52.800000000000004
18.650000000000002,71.35,90.0,52.69999999999999
18.7,71.3,90.0,52.599999999999994
18.75,71.25,90.0,52.5
18.8,71.2,90.0,52.400000000000006
18.85,71.15,90.0,52.300000000000004
18.900000000000002,71.1,90.0,52.19999999999999
18.95,71.05,90.0,52.099999999999994
19.0,71.0,90.0,52.0
19.05,70.95,90.0,51.900000000000006
19.1,70.9,90.0,51.800000000000004
19.150000000000002,70.85,90.0,51.69999999999999
19.200000000000003,70.8,90.0,51.599999999999994
19.25,70.75,90.0,51.5
19.3,70.7,90.0,51.400000000000006
19.35,70.65,90.0,51.300000000000004
19.400000000000002,70.6,90.0,51.19999999999999
19.450000000000003,70.55,90.0,51.099999999999994
19.5,70.5,90.0,51.0
19.55,70.45,90.0,50.900000000000006
19.6,70.4,90.0,50.800000000000004
19.650000000000002,70.35,90.0,50.69999999999999
19.700000000000003,70.3,90.0,50.599999999999994
19.75,70.25,90.0,50.5
19.8,70.2,90.0,50.400000000000006
19.85,70.15,90.0,50.300000000000004
19.900000000000002,70.1,90.0,50.19999999999999
19.950000000000003,70.05,90.0,50.099999999999994
20.0,70.0,90.0,50.0
20.05,69.95,90.0,49.900000000000006
20.1,69.9,90.0,49.800000000000004
20.150000000000002,69.85,90.0,49.69999999999999
20.200000000000003,69.8,90.0,49.599999999999994
20.25,69.75,90.0,49.5
20.3,69.7,90.0,49.400000000000006
20.35,69.65,90.0,49.300000000000004
20.400000000000002,69.6,90.0,49.19999999999999
20.450000000000003,69.55,90.0,49.099999999999994
20.5,69.5,90.0,49.0
20.55,69.45,90.0,48.900000000000006
20.6,69.4,90.0,48.800000000000004
20.650000000000002,69.35,90.0,48.69999999999999
20.700000000000003,69.3,90.0,48.599999999999994
20.75,69.25,90.0,48.5
20.8,69.2,90.0,48.400000000000006
20.85,69.15,90.0,48.300000000000004
20.900000000000002,69.1,90.0,48.19999999999999
20.950000000000003,69.05,90.0,48.099999999999994
21.0,69.0,90.0,48.0
21.05,68.95,90.0,47.900000000000006
21.1,68.9,90.0,47.800000000000004
21.150000000000002,68.85,90.0,47.69999999999999
21.200000000000003,68.8,90.0,47.599999999999994
21.25,68.75,90.0,47.5
21.3,68.7,90.0,47.400000000000006
21.35,68.65,90.0,47.300000000000004
21.400000000000002,68.6,90.0,47.19999999999999
21.450000000000003,68.55,90.0,47.099999999999994
21.5,68.5,90.0,47.0
21.55,68.45,90.0,46.900000000000006
21.6,68.4,90.0,46.800000000000004
21.650000000000002,68.35,90.0,46.69999999999999
21.700000000000003,68.3,90.0,46.599999999999994
21.75,68.25,90.0,46.5
21.8,68.2,90.0,46.400000000000006
21.85,68.15,90.0,46.300000000000004
21.900000000000002,68.1,90.0,46.19999999999999
21.950000000000003,68.05,90.0,46.099999999999994
22.0,68.0,90.0,46.0
22.05,67.95,90.0,45.900000000000006
22.1,67.9,90.0,45.800000000000004
22.150000000000002,67.85,90.0,45.69999999999999
22.200000000000003,67.8,90.0,45.599999999999994
22.25,67.75,90.0,45.5
22.3,67.7,90.0,45.400000000000006
22.35,67.65,90.0,45.300000000000004
22.400000000000002,67.6,90.0,45.19999999999999
22.450000000000003,67.55,90.0,45.099999999999994
22.5,67.5,90.0,45.0
22.55,67.45,90.0,44.900000000000006
22.6,67.4,90.0,44.800000000000004
22.650000000000002,67.35,90.0,44.69999999999999
22.700000000000003,67.3,90.0,44.599999999999994
22.75,67.25,90.0,44.5
22.8,67.2,90.0,44.400000000000006
22.85,67.15,90.0,44.300000000000004
22.900000000000002,67.1,90.0,44.19999999999999
22.950000000000003,67.05,90.0,44.099999999999994
23.0,67.0,90.0,44.0
23.05,66.95,90.0,43.900000000000006
23.1,66.9,90.0,43.800000000000004
23.150000000000002,66.85,90.0,43.69999999999999
23.200000000000003,66.8,90.0,43.599999999999994
23.25,66.75,90.0,43.5
23.3,66.7,90.0,43.400000000000006
23.35,66.65,90.0,43.300000000000004
23.400000000000002,66.6,90.0,43.19999999999999
23.450000000000003,66.55,90.0,43.099999999999994
23.5,66.5,90.0,43.0
23.55,66.45,90.0,42.900000000000006
23.6,66.4,90.0,42.800000000000004
23.650000000000002,66.35,90.0,42.69999999999999
23.700000000000003,66.3,90.0,42.599999999999994
23.75,66.25,90.0,42.5
23.8,66.2,90.0,42.400000000000006
23.85,66.15,90.0,42.300000000000004
23.900000000000002,66.1,90.0,42.19999999999999
23.950000000000003,66.05,90.0,42.099999999999994
24.0,66.0,90.0,42.0
24.05,65.95,90.0,41.900000000000006
24.1,65.9,90.0,41.800000000000004
24.150000000000002,65.85,90.0,41.69999999999999
24.200000000000003,65.8,90.0,41.599999999999994
24.25,65.75,90.0,41.5
24.3,65.7,90.0,41.400000000000006
24.35,65.65,90.0,41.300000000000004
24.400000000000002,65.6,90.0,41.19999999999999
24.450000000000003,65.55,90.0,41.099999999999994
24.5,65.5,90.0,41.0
24.55,65.45,90.0,40.900000000000006
24.6,65.4,90.0,40.800000000000004
24.650000000000002,65.35,90.0,40.69999999999999
24.700000000000003,65.3,90.0,40.599999999999994
24.75,65.25,90.0,40.5
24.8,65.2,90.0,40.400000000000006
24.85,65.15,90.0,40.300000000000004
24.900000000000002,65.1,90.0,40.19999999999999
24.950000000000003,65.05,90.0,40.099999999999994
25.0,65.0,90.0,40.0
25.05,64.95,90.0,39.900000000000006
25.1,64.9,90.0,39.800000000000004
25.150000000000002,64.85,90.0,39.69999999999999
25.200000000000003,64.8,90.0,39.599999999999994
