coherence,b_minor,focus_c,focus_separation,residual,coupling_cost,between_focus_storage
0.9057788944723618,0.9057788944723618,0.4237506275257018,0.8475012550514036,0.09422110552763818,0.0798525051870041,0.05498087515417035
0.9020100502512562,0.9020100502512562,0.4317150324528047,0.8634300649056094,0.09798994974874375,0.08460746867165522,0.05825481193423758
0.8982412060301508,0.8982412060301508,0.43950282796530465,0.8790056559306093,0.10175879396984921,0.08944655544017505,0.06158667015029624
0.8944723618090452,0.8944723618090452,0.4471232424732006,0.8942464849464012,0.10552763819095479,0.09436771951695692,0.06497504108599943
0.8907035175879396,0.8907035175879396,0.45458469371116195,0.9091693874223239,0.10929648241206036,0.09936901596198772,0.06841858559107508
0.8869346733668342,0.8869346733668342,0.4618948854227195,0.923789770845439,0.11306532663316582,0.10444859218101696,0.07191602809811358
0.8831658291457286,0.8831658291457286,0.4690608896820728,0.9381217793641456,0.11683417085427139,0.10960468025234368,0.07546615133932728
0.8793969849246231,0.8793969849246231,0.4760892173799803,0.9521784347599606,0.12060301507537685,0.11483559012180426,0.07906779166109312
0.8756281407035176,0.8756281407035176,0.4829858788909887,0.9659717577819774,0.12437185929648242,0.1201397035432359,0.08271983485177756
0.8718592964824121,0.8718592964824121,0.4897564365449355,0.979512873089871,0.12814070351758788,0.12551546866226984,0.08642121241251377
0.8680904522613065,0.8680904522613065,0.49640605021772277,0.9928121004354455,0.13190954773869346,0.13096139515794192,0.09017089821205292
0.864321608040201,0.864321608040201,0.502939517113938,1.005879034227876,0.13567839195979903,0.13647604987011386,0.0939679054761109
0.8605527638190955,0.8605527638190955,0.5093613066216515,1.018722613243303,0.1394472361809045,0.1420580528517671,0.09781128406925278
0.8567839195979899,0.8567839195979899,0.5156755909661666,1.031351181932333,0.14321608040201006,0.14770607379432912,0.1017001180336214
0.8530150753768844,0.8530150753768844,0.521886272266064,1.043772544532128,0.14698492462311563,0.15341882878173244,0.10563352335400832
0.8492462311557789,0.8492462311557789,0.527997006495023,1.055994012990046,0.1507537688442211,0.15919507733518282,0.10961064592308707
0.8454773869346733,0.8454773869346733,0.534011224771649,1.068022449543298,0.15452261306532666,0.1650336197158614,0.11363065968424162
0.8417085427135679,0.8417085427135679,0.5399321523330519,1.0798643046661038,0.15829145728643212,0.1709332944571973,0.11769276493246109
0.8379396984924623,0.8379396984924623,0.545762825493237,1.091525650986474,0.1620603015075377,0.17689297610207932,0.12179618675634128
0.8341708542713568,0.8341708542713568,0.5515061068421588,1.1030122136843177,0.16582914572864316,0.18291157312353,0.12594017360640566
0.8304020100502513,0.8304020100502513,0.5571646989037464,1.1143293978074928,0.16959798994974873,0.18898802601006473,0.13012399597681684
0.8266331658291457,0.8266331658291457,0.5627411564398717,1.1254823128797433,0.1733668341708543,0.19512130549925202,0.13434694518912937
0.8228643216080402,0.8228643216080402,0.5682378975609949,1.1364757951219897,0.17713567839195976,0.2013104109449755,0.1386083322680998
0.8190954773869347,0.8190954773869347,0.5736572137821241,1.1473144275642482,0.18090452261306533,0.20755436880559264,0.1429074869007382
0.8153266331658291,0.8153266331658291,0.5790012791440736,1.1580025582881472,0.1846733668341709,0.2138522312416554,0.1472437564707962
0.8115577889447236,0.8115577889447236,0.5842721585041952,1.1685443170083905,0.18844221105527637,0.2202030748131389,0.15161650516176936
0.8077889447236181,0.8077889447236181,0.5894718150872894,1.1789436301745788,0.19221105527638194,0.22660599926722436,0.15602511312224887
0.8040201005025126,0.8040201005025126,0.5946021173759218,1.1892042347518437,0.1959798994974874,0.23306012640865273,0.16046897568812574
0.800251256281407,0.800251256281407,0.5996648454095252,1.1993296908190505,0.19974874371859297,0.23956459904551386,0.16494750265673463
0.7964824120603016,0.7964824120603016,0.6046616965532082,1.2093233931064165,0.20351758793969843,0.2461185800040696,0.16946011760852964
0.792713567839196,0.792713567839196,0.6095942907899092,1.2191885815798185,0.207286432160804,0.2527212512068719,0.1740062572723406
0.7889447236180904,0.7889447236180904,0.6144641755832271,1.2289283511664542,0.21105527638190957,0.2593718128090004,0.17858537093064641
0.785175879396985,0.785175879396985,0.6192728303528029,1.2385456607056058,0.21482412060301503,0.266069482387762,0.18319691986165862
0.7814070351758794,0.7814070351758794,0.6240216705993807,1.2480433411987615,0.2185929648241206,0.2728134941816388,0.18784037681531396
0.7776381909547738,0.7776381909547738,0.6287120517125361,1.2574241034250722,0.22236180904522618,0.2796030983746706,0.19251522552054992
0.7738693467336684,0.7738693467336684,0.6333452724904524,1.2666905449809047,0.22613065326633164,0.28643756042281765,0.19722096022148503
0.7701005025125628,0.7701005025125628,0.6379225783979575,1.275845156795915,0.2298994974874372,0.2933161604191614,0.20195708524034048
0.7663316582914573,0.7663316582914573,0.6424451645862588,1.2848903291725176,0.23366834170854267,0.3002381924950857,0.20672311456513484
0.7625628140703518,0.7625628140703518,0.6469141786953708,1.2938283573907416,0.23743718592964824,0.3072029642548369,0.21151857146036188
0.7587939698492463,0.7587939698492463,0.6513307234580764,1.3026614469161528,0.2412060301507537,0.31420979624108203,0.21634298809901092
0.7550251256281407,0.7550251256281407,0.6556958591223604,1.3113917182447208,0.24497487437185927,0.32125802142929716,0.2211959052144379
0.7512562814070352,0.7512562814070352,0.6600106057075702,1.3200212114151404,0.24874371859296485,0.32834698474899227,0.22607687177071423
0.7474874371859297,0.7474874371859297,0.6642759451080633,1.3285518902161266,0.2525125628140703,0.3354760426299515,0.23098544465019938
0.7437185929648241,0.7437185929648241,0.6684928230567792,1.3369856461135583,0.2562814070351759,0.34264456257181647,0.2359211883571858
0.7399497487437185,0.7399497487437185,0.6726621509599806,1.3453243019199612,0.26005025125628145,0.34985192273546734,0.24088367473655267
0.7361809045226131,0.7361809045226131,0.6767848076133707,1.3535696152267414,0.2638190954773869,0.3570975115547935,0.24587248270645792
0.7324120603015076,0.7324120603015076,0.6808616408088363,1.3617232816176725,0.26758793969849237,0.3643807273675429,0.25088719800416687
0.728643216080402,0.728643216080402,0.6848934688402342,1.3697869376804683,0.27135678391959805,0.3717009780640468,0.2559274129441887
0.7248743718592965,0.7248743718592965,0.6888810819158778,1.3777621638317556,0.2751256281407035,0.3790576807527066,0.2609927261879538
0.721105527638191,0.721105527638191,0.6928252434847089,1.3856504869694177,0.278894472361809,0.3864502614412194,0.26608274252432795
0.7173366834170855,0.7173366834170855,0.6967266914825182,1.3934533829650364,0.28266331658291455,0.39387815473257937,0.2711970726603001
0.7135678391959799,0.7135678391959799,0.7005861395040442,1.4011722790080885,0.2864321608040201,0.40134080353498014,0.276335333021241
0.7097989949748744,0.7097989949748744,0.7044042779062732,1.4088085558125465,0.2902010050251256,0.4088376587847967,0.2814971455601685
0.7060301507537688,0.7060301507537688,0.7081817748478214,1.4163635496956428,0.29396984924623115,0.41636817918188496,0.2866821375754926
0.7022613065326633,0.7022613065326633,0.7119192772688746,1.4238385545377492,0.2977386934673367,0.42393183093649073,0.29188994153675496
0.6984924623115578,0.6984924623115578,0.7156174118157949,1.4312348236315897,0.3015075376884422,0.4315280875271124,0.2971201949179098
0.6947236180904524,0.6947236180904524,0.7192767857141723,1.4385535714283446,0.30527638190954764,0.43915642946870304,0.30237254003772424
0.6909547738693467,0.6909547738693467,0.722897987593796,1.445795975187592,0.3090452261306533,0.4468163440906378,0.30764662390690184
0.6871859296482412,0.6871859296482412,0.7264815882687479,1.4529631765374957,0.3128140703517588,0.45450732532391513,0.31294209808156437
0.6834170854271358,0.6834170854271358,0.7300281414755728,1.4600562829511456,0.31658291457286425,0.46222887349709624,0.31825861852274995
0.6796482412060302,0.6796482412060302,0.7335381845722483,1.4670763691444966,0.3203517587939698,0.46998049514051077,0.32359584546160247
0.6758793969849246,0.6758793969849246,0.7370122392004727,1.4740244784009453,0.3241206030150754,0.4777617027982964,0.3289534432699554
0.6721105527638191,0.6721105527638191,0.7404508119136027,1.4809016238272055,0.32788944723618085,0.48557201484786505,0.33433108033602876
0.6683417085427136,0.6683417085427136,0.7438543947723952,1.4877087895447905,0.3316582914572864,0.4934109553264129,0.33972842894497574
0.664572864321608,0.664572864321608,0.7472234659105491,1.4944469318210982,0.335427135678392,0.5012780537641122,0.34514516516403065
