theta_deg,phi_deg,S_normal,S_tangent,trace_sum,trace_diff
17.35,72.65,0.08892797948463124,0.9110720205153688,1.0,0.8221440410307376
17.4,72.6,0.089425395433148,0.910574604566852,1.0,0.821149209133704
17.45,72.55,0.08992406206311392,0.9100759379368861,1.0,0.8201518758737723
17.5,72.5,0.09042397785550409,0.909576022144496,1.0,0.8191520442889919
17.55,72.45,0.09092514128748826,0.9090748587125117,1.0,0.8181497174250234
17.6,72.4,0.0914275508324357,0.9085724491675643,1.0,0.8171448983351286
17.65,72.35,0.09193120495991994,0.9080687950400801,1.0,0.8161375900801602
17.7,72.3,0.09243610213572293,0.907563897864277,1.0,0.8151277957285541
17.75,72.25,0.0929422408218404,0.9070577591781597,1.0,0.8141155183563192
17.8,72.2,0.09344961947648618,0.9065503805235138,1.0,0.8131007610470276
17.85,72.15,0.0939582365540969,0.9060417634459031,1.0,0.8120835268918063
17.9,72.1,0.09446809050533672,0.9055319094946633,1.0,0.8110638189893267
17.95,72.05,0.09497917977710203,0.905020820222898,1.0,0.810041640445796
18.0,72.0,0.09549150281252629,0.9045084971874736,0.9999999999999999,0.8090169943749473
18.05,71.95,0.09600505805098473,0.9039949419490152,0.9999999999999999,0.8079898838980305
18.1,71.9,0.09651984392809904,0.9034801560719009,1.0,0.8069603121438018
18.15,71.85,0.09703585887574212,0.9029641411242578,1.0,0.8059282822485156
18.200000000000003,71.8,0.09755310132204298,0.902446898677957,1.0,0.804893797355914
18.25,71.75,0.09807156969139133,0.9019284303086087,1.0,0.8038568606172174
18.3,71.7,0.09859126240444271,0.9014087375955573,1.0,0.8028174751911146
18.35,71.65,0.09911217787812296,0.900887822121877,1.0,0.801775644243754
18.4,71.6,0.09963431452563326,0.9003656854743667,1.0,0.8007313709487334
18.450000000000003,71.55,0.10015767075645475,0.8998423292435452,1.0,0.7996846584870905
18.5,71.5,0.10068224497635357,0.8993177550236464,1.0,0.7986355100472928
18.55,71.45,0.10120803558738571,0.8987919644126143,1.0,0.7975839288252287
