theta_rad,theta_deg,A_observable,B_complement,A_plus_B,G_gap
0.1688606051304514,9.675,0.9717560820140968,0.02824391798590321,1.0,0.027446199082708785
0.16964600329384885,9.72,0.9714952679464323,0.028504732053567773,1.0,0.02769221230412208
0.17043140145724628,9.765,0.9712332905110639,0.02876670948893602,0.9999999999999999,0.027939185914115178
0.17121679962064373,9.81,0.9709701503543953,0.029029849645604688,1.0,0.02818711747515827
0.1720021977840412,9.855,0.9707058481256983,0.0292941518743016,0.9999999999999999,0.02843600454026695
0.17278759594743864,9.9,0.9704403844771127,0.029559615522887266,0.9999999999999999,0.028685844653026347
0.17357299411083607,9.945,0.9701737600636435,0.02982623993635653,1.0,0.028936635347615425
0.17435839227423353,9.99,0.9699059755431598,0.030094024456840163,1.0,0.02918837414883127
0.17514379043763098,10.035,0.9696370315763936,0.03036296842360647,1.0,0.029441058572113547
0.17592918860102844,10.080000000000002,0.969366928826937,0.030633071173062965,1.0,0.02969468612356902
0.17671458676442586,10.125,0.969095667961242,0.030904332038757934,1.0,0.029949254299996134
0.17749998492782332,10.17,0.9688232496486179,0.031176750351382176,1.0,0.03020476058890977
0.17828538309122077,10.215,0.9685496745612294,0.03145032543877059,1.0,0.030461202468566012
0.17907078125461823,10.260000000000002,0.968274943374096,0.03172505662590383,0.9999999999999999,0.030718577407987023
0.17985617941801565,10.305,0.9679990567650899,0.032000943234910005,0.9999999999999999,0.03097688286698607
0.1806415775814131,10.35,0.9677220154149337,0.03227798458506633,1.0,0.031236116296192554
0.18142697574481056,10.395000000000001,0.9674438200071991,0.03255617999280083,0.9999999999999999,0.03149627513707719
0.18221237390820802,10.440000000000001,0.9671644712283061,0.032835528771693975,1.0,0.03175735682197724
0.18299777207160545,10.485,0.9668839697675196,0.03311603023248042,1.0,0.03201935877412186
0.1837831702350029,10.53,0.9666023163169493,0.03339768368305071,1.0,0.0322822784076576
0.18456856839840036,10.575000000000001,0.9663195115715469,0.03368048842845294,0.9999999999999999,0.03254611312767378
0.1853539665617978,10.620000000000001,0.9660355562291054,0.03396444377089452,0.9999999999999999,0.03281086033022826
0.18613936472519527,10.665000000000001,0.9657504509902561,0.03424954900974387,1.0,0.033076517402373024
0.1869247628885927,10.71,0.9654641965584678,0.03453580344153214,1.0,0.03334308172218
0.18771016105199015,10.755,0.9651767936400449,0.034823206359955,0.9999999999999999,0.03361055065876699
0.1884955592153876,10.8,0.9648882429441258,0.0351117570558743,1.0,0.03387892157232356
0.18928095737878506,10.845,0.9645985451826802,0.0354014548173199,1.0,0.03414819181413716
0.19006635554218249,10.89,0.9643077010705086,0.035692298929491335,0.9999999999999999,0.034418358726619164
0.19085175370557994,10.935,0.9640157113252403,0.03598428867475971,1.0,0.03468941964333127
0.1916371518689774,10.98,0.9637225766673307,0.03627742333266934,1.0,0.03496137188901164
0.19242255003237485,11.025,0.9634282978200605,0.0365717021799396,1.0,0.035234212779601405
0.19320794819577228,11.07,0.9631328755095334,0.03686712449046667,1.0,0.035507939622271105
0.19399334635916973,11.115,0.9628363104646747,0.03716368953532539,1.0,0.03578254971544734
0.1947787445225672,11.16,0.9625386034172291,0.03746139658277098,1.0,0.03605804034883933
0.19556414268596464,11.205000000000002,0.962239755101759,0.0377602448982409,0.9999999999999999,0.036334408803465765
0.19634954084936207,11.25,0.9619397662556434,0.03806023374435662,1.0,0.03661165235168155
0.19713493901275952,11.295,0.9616386376190745,0.038361362380925516,1.0,0.03688976825720483
