theta_rad,theta_deg,A_observable,B_complement,G_coupling,A_plus_B
0.1884955592153876,10.8,0.9648882429441258,0.0351117570558743,0.03387892157232356,1.0
0.19006635554218249,10.89,0.9643077010705086,0.035692298929491335,0.034418358726619164,0.9999999999999999
0.1916371518689774,10.98,0.9637225766673307,0.03627742333266934,0.03496137188901164,1.0
0.19320794819577228,11.07,0.9631328755095334,0.03686712449046667,0.035507939622271105,1.0
0.1947787445225672,11.16,0.9625386034172291,0.03746139658277098,0.03605804034883933,1.0
0.19634954084936207,11.25,0.9619397662556434,0.03806023374435662,0.03661165235168155,1.0
0.19792033717615698,11.34,0.9613363699350574,0.03866363006494259,0.03716875377514386,1.0
0.19949113350295186,11.43,0.9607284204107491,0.03927157958925077,0.03772932262581591,0.9999999999999999
0.20106192982974677,11.520000000000001,0.9601159236829352,0.03988407631706484,0.03829333677339938,1.0
0.20263272615654168,11.610000000000001,0.9594988857967107,0.04050111420328933,0.03886077395158145,1.0
0.20420352248333656,11.700000000000001,0.9588773128419905,0.04112268715800943,0.039431611758913916,1.0
0.20577431881013147,11.790000000000001,0.958251210953449,0.04174878904655102,0.0400058276596976,1.0
0.20734511513692636,11.88,0.9576205863104588,0.04237941368954122,0.04058339898487195,1.0
0.20891591146372127,11.97,0.9569854451370307,0.04301455486296941,0.041164302932910006,1.0
0.21048670779051615,12.06,0.9563457937017514,0.04365420629824859,0.04174851657071855,1.0
0.21205750411731106,12.15,0.9557016383177227,0.04429836168227738,0.04233601683454352,1.0
0.21362830044410594,12.24,0.9550529853424978,0.04494701465750215,0.042926780530880435,1.0
0.21519909677090085,12.330000000000002,0.9543998411780201,0.04560015882197996,0.043520784337390164,1.0
0.21676989309769573,12.42,0.9537422122705584,0.04625778772944153,0.04411800480381946,1.0
0.21834068942449064,12.510000000000002,0.953080105110645,0.046919894889355086,0.04471841835292696,1.0
0.21991148575128552,12.6,0.9524135262330098,0.04758647376699023,0.04532200128141378,1.0
0.22148228207808043,12.690000000000001,0.9517424822165175,0.04825751778348258,0.04592872976085944,1.0
0.22305307840487532,12.78,0.9510669796841014,0.04893302031589858,0.046538579838662435,1.0
0.22462387473167023,12.870000000000001,0.950387025302699,0.04961297469730097,0.04715152743898594,1.0
0.2261946710584651,12.96,0.9497026257831854,0.050297374216814475,0.047767548363708195,0.9999999999999999
0.22776546738526002,13.05,0.9490137878803079,0.05098621211969219,0.048386618293377946,1.0
0.2293362637120549,13.14,0.9483205183926179,0.05167948160738207,0.04900871278817432,1.0
0.2309070600388498,13.23,0.9476228241624057,0.05237717583759418,0.049633807288871915,0.9999999999999999
0.2324778563656447,13.32,0.9469207120756318,0.053079287924368106,0.050261877117810126,0.9999999999999999
0.2340486526924396,13.41,0.9462141890618588,0.053785810938141054,0.050892897479867596,0.9999999999999999
0.2356194490192345,13.500000000000002,0.9455032620941839,0.05449673790581607,0.05152684346344086,1.0
0.2371902453460294,13.59,0.944787938189169,0.05521206181083101,0.052163690041427985,1.0
0.2387610416728243,13.680000000000001,0.9440682244067723,0.05593177559322775,0.05280341207221656,1.0
0.24033183799961919,13.770000000000001,0.9433441278502783,0.05665587214972176,0.053445984300676146,1.0
0.2419026343264141,13.860000000000001,0.9426156556662276,0.0573843443337724,0.05409138135915545,1.0
0.24347343065320898,13.950000000000001,0.9418828150443467,0.05811718495565328,0.05473957776848366,1.0
0.2450442269800039,14.040000000000001,0.9411456132174766,0.05885438678252336,0.0553905479389765,1.0
0.24661502330679877,14.13,0.9404040574615017,0.0595959425384982,0.056044266171446214,0.9999999999999999
0.24818581963359368,14.22,0.9396581550952781,0.06034184490472187,0.05670070665821636,0.9999999999999999
0.24975661596038856,14.31,0.9389079134805609,0.06109208651943917,0.057359843484140534,1.0
0.25132741228718347,14.4,0.9381533400219317,0.06184665997806821,0.05802165062762542,1.0
0.2528982086139784,14.490000000000002,0.9373944421667263,0.06260555783327362,0.05868610196165825,0.9999999999999999
0.25446900494077324,14.58,0.9366312274049601,0.06336877259503991,0.05935317125483803,1.0
0.25603980126756815,14.67,0.9358637032692544,0.06413629673074556,0.06002283217241131,1.0
0.25761059759436306,14.760000000000002,0.9350918773347627,0.06490812266523716,0.06069505827731168,0.9999999999999999
0.25918139392115797,14.850000000000001,0.9343157572190955,0.06568424278090439,0.06136982303120359,0.9999999999999999
0.2607521902479528,14.94,0.9335353505822451,0.06646464941775497,0.0620470997955299,1.0
0.26232298657474773,15.03,0.9327506651265096,0.06724933487349051,0.06272686183256365,1.0000000000000002
0.26389378290154264,15.120000000000001,0.9319617085964177,0.06803829140358235,0.06340908230646357,1.0
0.26546457922833755,15.21,0.931168488778652,0.06883151122134802,0.06409373428433346,1.0
0.2670353755551324,15.299999999999999,0.9303710135019718,0.06962898649802816,0.06478079073728557,1.0
0.2686061718819273,15.39,0.9295692906371361,0.07043070936286379,0.0654702245415076,0.9999999999999999
0.2701769682087222,15.48,0.9287633280968262,0.07123667190317387,0.06616200847933343,1.0
0.27174776453551713,15.570000000000002,0.9279531338355664,0.0720468661644335,0.0668561152403177,0.9999999999999999
0.27331856086231204,15.660000000000002,0.9271387158496477,0.07286128415035244,0.06755251742231405,1.0000000000000002
0.2748893571891069,15.75,0.9263200821770461,0.0736799178229539,0.06825118753255666,1.0
0.2764601535159018,15.84,0.925497240897346,0.07450275910265407,0.06895209798874596,1.0
0.2780309498426967,15.930000000000001,0.9246702001316581,0.07532979986834175,0.06965522112013732,0.9999999999999999
0.2796017461694916,16.020000000000003,0.9238389680425416,0.0761610319574584,0.07036052916863339,1.0
